# P      T      H      H2       He       H2O       CH4       CO       CO2       NH3       H2S       HCN       C2H2       Na       K       TiO       VO       FeH      e      Hm      PH3      FeI      FeII      CaI      MgI
3.571674682851674833e-05 3.356802635680966432e+03 9.107972384000000421e-01 1.666159231499999953e-04 8.829875264599999773e-02 3.245035574699999873e-11 1.000000000000000038e-25 2.779207585199999797e-04 6.718497979000000015e-12 1.000000000000000038e-25 1.000000000000000038e-25 3.902001219000000225e-12 1.000000000000000038e-25 3.355906397300000109e-10 1.399430725400000028e-12 1.139303288200000060e-11 7.083631726400000576e-14 4.926391749399999791e-12 1.935829877099999884e-05 9.818984622299999353e-12 1.000000000000000038e-25 1.263614672800000012e-05 1.000000000000000038e-25 2.124798668499999956e-06 3.623414120500000291e-05
4.496472020903842217e-05 3.336411212406480445e+03 9.107330589200000048e-01 2.319587142699999890e-04 8.830520081100000362e-02 6.280493360399999695e-11 1.000000000000000038e-25 2.807624452400000266e-04 9.474971811699999421e-12 1.000000000000000038e-25 1.794430374899999913e-14 4.756185751100000089e-12 1.000000000000000038e-25 4.244083070100000156e-10 1.739682171900000056e-12 1.649664691200000065e-11 1.012909011299999970e-13 7.572264301299999500e-12 1.718644841300000049e-05 1.131892068100000060e-11 1.000000000000000038e-25 1.480986769499999967e-05 1.000000000000000038e-25 2.124953835100000201e-06 3.623678477099999829e-05
5.660722890537316039e-05 3.304527024212391552e+03 9.106201946499999922e-01 3.427554692299999962e-04 8.831574294699999494e-02 1.380879442499999990e-10 1.000000000000000038e-25 2.830310718700000173e-04 1.430712566999999953e-11 1.000000000000000038e-25 3.716948913799999916e-14 5.612007556400000033e-12 1.000000000000000038e-25 5.511338881999999771e-10 2.198412031599999869e-12 2.618261775600000070e-11 1.576122340500000096e-13 1.198051387800000033e-11 1.456511045799999929e-05 1.268705391700000024e-11 1.000000000000000038e-25 1.743458665700000010e-05 1.000000000000000038e-25 2.125207517900000090e-06 3.624110730200000231e-05
7.126427896022353330e-05 3.285572939901671816e+03 9.104812683999999878e-01 4.751581245399999964e-04 8.832794812399999418e-02 2.668175876500000235e-10 1.000000000000000038e-25 2.840720645599999921e-04 2.009599686400000096e-11 1.000000000000000038e-25 6.920990591199999795e-14 6.491159624199999789e-12 1.000000000000000038e-25 6.802495643600000503e-10 2.669251735700000011e-12 3.794219107499999932e-11 2.257129708500000108e-13 1.738020912099999953e-11 1.268522463600000012e-05 1.432572843300000064e-11 1.000000000000000038e-25 1.931862400000000066e-05 1.000000000000000038e-25 2.125501219399999976e-06 3.624611152099999989e-05
8.971641173621374690e-05 3.268905166397605626e+03 9.102935357600000499e-01 6.516793784999999574e-04 8.834397662000000040e-02 5.047814393100000460e-10 1.000000000000000038e-25 2.847354850499999928e-04 2.788589031999999877e-11 1.000000000000000038e-25 1.266056208299999976e-13 7.409148098399999549e-12 1.000000000000000038e-25 8.296699800499999702e-10 3.208507905899999840e-12 5.417686239399999899e-11 3.189486190000000218e-13 2.456976974000000040e-11 1.106062595599999932e-05 1.614238152999999923e-11 1.000000000000000038e-25 2.094878566199999994e-05 1.000000000000000038e-25 2.125886923999999840e-06 3.625268347100000176e-05
1.129462705897078389e-04 3.252912495264854442e+03 9.100371013800000464e-01 8.908435794999999564e-04 8.836549162100000576e-02 9.490732947000000040e-10 1.000000000000000038e-25 2.851992192399999929e-04 3.855213891099999876e-11 1.000000000000000038e-25 2.303251138099999835e-13 8.359339525899999901e-12 1.000000000000000038e-25 1.006584915500000000e-09 3.838164896400000394e-12 7.705006477400000093e-11 4.490906643399999988e-13 3.417339735299999814e-11 9.628999781699999460e-06 1.813418406099999934e-11 1.000000000000000038e-25 2.238795893299999978e-05 1.000000000000000038e-25 2.126404653899999956e-06 3.626150528400000182e-05
1.421909302127632546e-04 3.238887993746272514e+03 9.096963284200000333e-01 1.206975867099999980e-03 8.839375492999999862e-02 1.751641541200000010e-09 1.000000000000000038e-25 2.855380878900000224e-04 5.274356546399999814e-11 1.000000000000000038e-25 4.130304097100000117e-13 9.382710538400000396e-12 1.000000000000000038e-25 1.213401380199999981e-09 4.569554763000000362e-12 1.081067723099999964e-10 6.246425131600000482e-13 4.675190958199999798e-11 8.419837521499999627e-06 2.041790553100000064e-11 1.000000000000000038e-25 2.360709918900000002e-05 1.000000000000000038e-25 2.127084772600000194e-06 3.627309434600000304e-05
1.790077753714985496e-04 3.224640550671468645e+03 9.092313620199999891e-01 1.636934391300000043e-03 8.843204975799999479e-02 3.239442920599999917e-09 1.000000000000000038e-25 2.858287186200000017e-04 7.222709658800000355e-11 1.000000000000000038e-25 7.419684318699999612e-13 1.044813237900000027e-11 1.000000000000000038e-25 1.463693641399999900e-09 5.442381233099999723e-12 1.519420748100000092e-10 8.702513182699999814e-13 6.343134502899999773e-11 7.354609099300000368e-06 2.296000310699999905e-11 1.000000000000000038e-25 2.468590228499999912e-05 1.000000000000000038e-25 2.128006285900000067e-06 3.628879730900000004e-05
2.253574373239214108e-04 3.210704001001050983e+03 9.086018817200000042e-01 2.217776745099999790e-03 8.848365286499999816e-02 5.975455330299999840e-09 1.000000000000000038e-25 2.861062127700000251e-04 9.874584745000000029e-11 1.000000000000000038e-25 1.331219699199999909e-12 1.158063954999999956e-11 1.000000000000000038e-25 1.767744839999999990e-09 6.491038967599999821e-12 2.131184598400000045e-10 1.211052614899999993e-12 8.539896136099999665e-11 6.437031657999999804e-06 2.586542732399999968e-11 1.000000000000000038e-25 2.562182420199999870e-05 1.000000000000000038e-25 2.129248044099999952e-06 3.630995806000000039e-05
2.837082045838957515e-04 3.197019625789758720e+03 9.077534021700000011e-01 2.999615719100000213e-03 8.855299924699999714e-02 1.097640271099999946e-08 1.000000000000000038e-25 2.864039563500000215e-04 1.346746297899999962e-10 1.000000000000000038e-25 2.382455438000000105e-12 1.278865640999999978e-11 1.000000000000000038e-25 2.140048547800000065e-09 7.761504780099999360e-12 2.980702043900000193e-10 1.680022840600000070e-12 1.141497193299999966e-10 5.654457953899999688e-06 2.921637497900000218e-11 1.000000000000000038e-25 2.642910055399999919e-05 1.000000000000000038e-25 2.130916768300000066e-06 3.633839562100000018e-05
3.571674682851644746e-04 3.183825836735040866e+03 9.066151237099999705e-01 4.047536343699999900e-03 8.864584550600000667e-02 2.004588662699999895e-08 1.000000000000000038e-25 2.867529598800000099e-04 1.830608217000000049e-10 1.000000000000000038e-25 4.250272642599999970e-12 1.410451910699999942e-11 1.000000000000000038e-25 2.600292484400000126e-09 9.318424613699999586e-12 4.150557758899999749e-10 2.321826250199999862e-12 1.516700547400000123e-10 4.995158129199999824e-06 3.316698416500000202e-11 1.000000000000000038e-25 2.712152336000000117e-05 1.000000000000000038e-25 2.133150981600000154e-06 3.637647101299999785e-05
4.496472020903805218e-04 3.171164162739628409e+03 9.050985685400000369e-01 5.442850457100000157e-03 8.876938094300000637e-02 3.631412114699999942e-08 1.000000000000000038e-25 2.871849324600000085e-04 2.477230326500000157e-10 1.000000000000000038e-25 7.544609525199999820e-12 1.554988504400000066e-11 1.000000000000000038e-25 3.173954848999999933e-09 1.124373654100000022e-11 5.746517786700000172e-10 3.192919445599999913e-12 2.003440206000000040e-10 4.445465216799999821e-06 3.787572170100000145e-11 1.000000000000000038e-25 2.771533494600000077e-05 1.000000000000000038e-25 2.136123681600000028e-06 3.642713295399999796e-05
5.660722890537269554e-04 3.159048959771596401e+03 9.030846554000000470e-01 7.294956307999999646e-03 8.893327425800000297e-02 6.526912045100000496e-08 1.000000000000000038e-25 2.877367818899999818e-04 3.338065651699999976e-10 1.254670114300000008e-14 1.333452864999999935e-11 1.716193501400000058e-11 1.000000000000000038e-25 3.898282790400000271e-09 1.365816820600000014e-11 7.910218401900000278e-10 4.369642414400000069e-12 2.634380861799999980e-10 3.990516663600000175e-06 4.358341324999999741e-11 1.000000000000000038e-25 2.822885903799999990e-05 1.000000000000000038e-25 2.140067526400000083e-06 3.649434704100000212e-05
