#HST emission spectrum of HD 189733b, as shown in Figure 1
#Data from https://ui.adsabs.harvard.edu/abs/2014ApJ...795..166C/abstract
#Wavelength[microns]	Fp/Fs[ppm]	Error[ppm]
1.1279	75.0	90.0
1.1467	-31.0	72.0
1.1655	132.0	80.0
1.1843	90.0	61.0
1.2031	81.0	78.0
1.2218	31.0	67.0
1.2406	73.0	65.0
1.2594	98.0	60.0
1.2782	30.0	63.0
1.2969	102.0	66.0
1.3157	102.0	69.0
1.3345	115.0	70.0
1.3533	48.0	61.0
1.3721	37.0	72.0
1.3908	6.0	58.0
1.4096	130.0	64.0
1.4284	112.0	67.0
1.4472	100.0	66.0
1.4660	58.0	78.0
1.4848	77.0	63.0
1.5035	257.0	72.0
1.5223	225.0	73.0
1.5411	119.0	66.0
1.5599	90.0	63.0
1.5786	173.0	72.0
1.5974	181.0	70.0
1.6162	66.0	84.0
1.6350	110.0	84.0
