#HST emission spectrum of KELT-7b, as shown in Supplementary Figure 2
#Data from https://ui.adsabs.harvard.edu/abs/2020arXiv200614199P/abstract
#Wavelength[microns]	Fp/Fs[ppm]	Error[ppm]
1.12625	373.7	45.
1.14775	395.1	46.
1.16860	366.9	45.
1.18880	354.4	48.
1.20835	387.6	41.
1.22750	378.7	49.
1.24645	386.5	43.
1.26550	329.2	46.
1.28475	436.3	43.
1.30380	455.8	42.
1.32260	352.3	44.
1.34145	357.7	43.
1.36050	463.8	44.
1.38005	463.3	45.
1.40000	475.0	38.
1.42015	455.5	51.
1.44060	451.5	46.
1.46150	458.0	44.
1.48310	448.0	46.
1.50530	503.1	48.
1.52800	482.5	48.
1.55155	476.5	50.
1.57625	539.7	52.
1.60210	445.7	48.
1.62945	433.2	51.
