#HST emission spectrum of KELT-7b, as shown in Supplementary Figure 2
#Data from https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract
#Wavelength [microns]	Fp/Fs [ppm]	Error [ppm]
1.129	903.	53.
1.1475	991.	60.
1.166	1003.	58.
1.1845	1029.	50.
1.203	1066.	58.
1.2215	983.	56.
1.24	1031.	50.
1.2585	1015.	53.
1.277	994.	49.
1.2955	1028.	54.
1.314	1008.	58.
1.3325	1077.	56.
1.351	1160.	52.
1.3695	1110.	59.
1.388	1262.	58.
1.4065	1360.	57.
1.425	1193.	55.
1.4435	1304.	53.
1.462	1331.	61.
1.4805	1342.	57.
1.499	1304.	61.
1.5175	1276.	62.
1.536	1210.	66.
1.5545	1307.	61.
1.573	1388.	65.
1.5915	1299.	69.
1.61	1270.	64.
1.6285	1286.	68.
