#HST emission spectrum of KELT-7b, as shown in Supplementary Figure 2
#Data from https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract
#Wavelength[um]	Fp/Fs[ppm]	Error[ppm]
1.12625	607.	39.
1.14775	711.	40.
1.16860	736.	43.
1.18880	597.	48.
1.20835	772.	53.
1.22750	544.	41.
1.24645	633.	50.
1.26550	692.	42.
1.28475	742.	47.
1.30380	770.	53.
1.32260	836.	52.
1.34145	870.	50.
1.36050	976.	52.
1.38005	903.	44.
1.40000	882.	48.
1.42015	955.	51.
1.44060	988.	48.
1.46150	1139.	45.
1.48310	1160.	44.
1.50530	1035.	51.
1.52800	1067.	45.
1.55155	1038.	48.
1.57625	1138.	53.
1.60210	1067.	56.
1.62945	1031.	54.
