#HST emission spectrum of KELT-7b, as shown in Supplementary Figure 2
#Data from https://ui.adsabs.harvard.edu/abs/2020arXiv200502568F/abstract
#Wavelength[microns]	Fp/Fs[ppm]	Error[ppm]
1.1518	490.	49.
1.1704	573.	49.
1.1890	570.	48.
1.2076	540.	48.
1.2262	553.	47.
1.2448	550.	47.
1.2634	458.	53.
1.2820	477.	50.
1.3006	567.	47.
1.3192	659.	45.
1.3378	640.	47.
1.3564	665.	47.
1.3750	740.	46.
1.3936	716.	48.
1.4122	746.	47.
1.4308	699.	49.
1.4494	789.	47.
1.4680	820.	57.
1.4866	868.	48.
1.5052	947.	51.
1.5238	874.	50.
1.5424	912.	59.
1.5610	830.	52.
1.5796	906.	52.
1.5982	911.	57.
1.6168	943.	56.
