#Planets in alphabetical order: CoRoT-2b, HAT-P-7b, HAT-P-32Ab, HAT-P-41b, HD 189733b, HD 209458b, KELT-7b, Kepler-13Ab, TrES-3b, WASP-4b, WASP-12b, WASP-18b, WASP-33b, WASP-43b, WASP-74b, WASP-76b, WASP-79b, WASP-103b, WASP-121b
#Stellar Teff [K]	Teff Error [K]	Stellar [M/H]	Stellar log(g)	Rp/Rs	Planet Dayside Temp [K, as determined from fitting full spectrum]	Planet Out-of-Band Dayside Temp [K, as determined from fitting only the out-of-band regions defined in Supplementary Figure 1]
5575.	66.	-0.04	4.51	0.1626	1779.	1796.
6441.	69.	0.15	4.02	0.07809	2740.	2772.
6207.	88.	-0.04	4.33	0.1478	1969.	1939.
6390.	100.	0.21	4.14	0.1028	2411.	2461.
5111.	77.	-0.04	4.59	0.1514	1424.	1446.
6092.	103.	0.0	4.28	0.1174	1619.	1711.
6789.	50.	0.139	4.149	0.0888	2424.	2447.
7650.	250.	0.2	4.2	0.08047	3385.	3484.
5514.	69.	-0.2	4.57	0.1619	1852.	1842.
5500.	100.	-0.03	4.5	0.1485	2045.	2079.
6118.	64.	0.07	4.14	0.115	2945.	2890.
6368.	66.	0.11	4.37	0.0935	2998.0	2979.
7430.	100.	0.1	4.3	0.1037	3095.6	3126.
4520.	120.	-0.01	4.645	0.1558	1723.0	1775.
5990.	110.	0.39	4.39	0.09803	2269.	2298.
6250.	100.	0.23	4.128	0.10873	2560.1	2523.
6600.	100.	0.03	4.2	0.1049	1886.	2083.
6110.	160.	0.06	4.22	0.1093	3009.9	3018.
6460.	140.	0.13	4.2	0.1245	2661.7	2651.
